GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
sm-shop,com.salesmanager.shop.mapper.catalog.product,PersistableProductVariantMapper,262,3,36,0,55,1,20,1,2,1
sm-shop,com.salesmanager.shop.store.api.v0.store,StoreContactRESTController,159,7,22,0,49,2,13,2,2,2
sm-shop,com.salesmanager.shop.store.controller.store.facade,StoreFacadeImpl,789,184,42,2,191,54,51,17,29,17
sm-shop,com.salesmanager.shop.populator.user,ReadableUserPopulator,11,86,2,6,3,21,3,4,1,2
sm-shop,com.salesmanager.shop.populator.user,PersistableUserPopulator,41,118,3,7,11,29,4,4,1,2
sm-shop,com.salesmanager.shop.store.api.v1.references,ReferencesApi,45,7,0,0,10,2,5,2,5,2
sm-shop,com.salesmanager.shop.store.model.paging,PaginationData,121,0,8,0,28,0,18,0,14,0
sm-shop,com.salesmanager.shop.store.controller.zone.facade,ZoneFacadeImpl,58,3,2,0,13,1,5,1,4,1
sm-shop,com.salesmanager.shop.store.api.v1.content,ContentAdministrationApi.FileStatus,36,0,0,0,13,0,7,0,7,0
sm-shop,com.salesmanager.shop.store.api.v1.content,ContentAdministrationApi.ImageFile,48,0,0,0,19,0,13,0,13,0
sm-shop,com.salesmanager.shop.store.api.v1.content,ContentAdministrationApi,287,7,6,0,65,2,13,2,10,2
sm-shop,com.salesmanager.shop.store.api.v1.content,ContentApi,255,7,2,0,61,2,25,2,24,2
sm-shop,com.salesmanager.shop.store.api.v1.category,CategoryApi,169,111,8,2,26,16,11,5,6,5
sm-shop,com.salesmanager.shop.store.model.search,AutoCompleteRequest,89,0,0,0,24,0,7,0,7,0
sm-shop,com.salesmanager.shop.mapper.cart,ReadableShoppingCartMapper,323,260,41,11,77,58,27,7,3,5
sm-shop,com.salesmanager.shop.store.api.v1.customer,CustomerReviewApi,32,7,0,0,5,2,4,2,4,2
sm-shop,com.salesmanager.shop.store.api.v1.customer,CustomerApi,175,7,4,0,39,2,13,2,11,2
sm-shop,com.salesmanager.shop.store.api.v1.customer,ResetCustomerPasswordApi,50,7,6,0,11,2,6,2,3,2
sm-shop,com.salesmanager.shop.store.api.v1.customer,AuthenticateCustomerApi,134,125,11,3,28,28,9,4,2,4
sm-shop,com.salesmanager.shop.store.api.v1.customer,CustomerNewsletterApi,14,3,0,0,4,1,3,1,3,1
sm-shop,com.salesmanager.shop.store.controller.currency.facade,CurrencyFacadeImpl,20,3,2,0,5,1,2,1,1,1
sm-shop,com.salesmanager.shop.store.controller.currency.facade,CurrencyFacadeImpl.new Comparator() {...},12,0,0,0,2,0,2,0,2,0
sm-shop,com.salesmanager.shop.store.api.v1.shipping,ShippingConfigurationApi,480,7,12,0,86,2,20,2,14,2
sm-shop,com.salesmanager.shop.store.api.v1.shipping,ShippingExpeditionApi,80,7,0,0,10,2,3,2,3,2
sm-shop,com.salesmanager.shop.store.api.v1.catalog,CatalogApi,118,7,2,0,20,2,12,2,11,2
sm-shop,com.salesmanager.shop.store.api.v0.system,SystemRESTController,124,7,0,0,41,2,4,2,4,2
sm-shop,com.salesmanager.shop.store.api.v1.order,OrderStatusHistoryApi,76,3,0,0,9,1,2,1,2,1
sm-shop,com.salesmanager.shop.store.api.v1.order,OrderPaymentApi,335,7,14,0,76,2,15,2,8,2
sm-shop,com.salesmanager.shop.store.api.v1.order,OrderTotalApi,225,7,14,0,64,2,9,2,2,2
sm-shop,com.salesmanager.shop.store.api.v1.order,OrderApi,669,7,52,0,145,2,35,2,9,2
sm-shop,com.salesmanager.shop.store.api.v1.order,OrderShippingApi,399,7,24,0,98,2,14,2,2,2
sm-shop,com.salesmanager.shop.populator.security,ReadablePermissionPopulator,7,0,0,0,3,0,3,0,3,0
sm-shop,com.salesmanager.shop.application.config,LocationImageConfig,14,26,2,2,4,6,2,2,0,2
sm-shop,com.salesmanager.shop.application.config,MultipleEntryPointsSecurityConfig.ServicesApiConfigurationAdapter,0,61,0,0,0,18,0,4,0,4
sm-shop,com.salesmanager.shop.application.config,MethodSecurityConfig,0,3,0,0,0,1,0,1,0,1
sm-shop,com.salesmanager.shop.application.config,AsyncConfig,7,3,0,0,2,1,2,1,2,1
sm-shop,com.salesmanager.shop.application.config,MultipleEntryPointsSecurityConfig.CustomerConfigurationAdapter,0,186,0,0,0,40,0,6,0,6
sm-shop,com.salesmanager.shop.application.config,ShopApplicationConfiguration,0,169,0,0,0,35,0,12,0,12
sm-shop,com.salesmanager.shop.application.config,MultipleEntryPointsSecurityConfig,0,27,0,0,0,7,0,7,0,7
sm-shop,com.salesmanager.shop.application.config,MultipleEntryPointsSecurityConfig.CustomeApiConfigurationAdapter,10,92,0,0,3,22,1,5,1,5
sm-shop,com.salesmanager.shop.application.config,ShopizerPropertiesConfig,0,15,0,0,0,4,0,2,0,2
sm-shop,com.salesmanager.shop.application.config,ShopServletContextListener,9,33,0,0,4,11,1,5,1,5
sm-shop,com.salesmanager.shop.application.config,DocumentationConfiguration,25,130,0,0,3,30,2,4,2,4
sm-shop,com.salesmanager.shop.application.config,MerchantStoreArgumentResolver,7,63,1,1,1,12,1,4,0,4
sm-shop,com.salesmanager.shop.application.config,LanguageArgumentResolver,0,19,0,0,0,4,0,3,0,3
sm-shop,com.salesmanager.shop.application.config,WebConfig,0,14,0,0,0,4,0,2,0,2
sm-shop,com.salesmanager.shop.application.config,MultipleEntryPointsSecurityConfig.UserApiConfigurationAdapter,0,110,0,0,0,30,0,7,0,7
sm-shop,com.salesmanager.shop.store.api.v1.user,ResetUserPasswordApi,50,7,6,0,11,2,6,2,3,2
sm-shop,com.salesmanager.shop.store.api.v1.user,UserApi,274,101,22,4,48,15,19,5,6,5
sm-shop,com.salesmanager.shop.store.api.v1.user,AuthenticateUserApi,79,46,9,1,15,12,6,3,1,3
sm-shop,com.salesmanager.shop.store.api.v2.product,ProductVariationApi,176,7,12,0,37,2,14,2,8,2
sm-shop,com.salesmanager.shop.store.api.v2.product,ProductVariantGroupApi,312,3,14,0,47,1,14,1,7,1
sm-shop,com.salesmanager.shop.store.api.v2.product,ProductApiV2,161,35,6,0,41,9,11,4,8,4
sm-shop,com.salesmanager.shop.store.api.v2.product,ProductVariantApi,173,7,6,0,25,2,9,2,6,2
sm-shop,com.salesmanager.shop.populator.manufacturer,PersistableManufacturerPopulator,53,90,13,7,9,24,11,4,2,3
sm-shop,com.salesmanager.shop.populator.manufacturer,ReadableManufacturerPopulator,121,0,20,0,34,0,14,0,4,0
sm-shop,com.salesmanager.shop.mapper.tax,PersistableTaxClassMapper,4,77,2,2,1,16,2,3,0,3
sm-shop,com.salesmanager.shop.mapper.tax,ReadableTaxRateMapper,130,3,4,0,28,1,7,1,5,1
sm-shop,com.salesmanager.shop.mapper.tax,ReadableTaxClassMapper,40,3,0,0,11,1,2,1,2,1
sm-shop,com.salesmanager.shop.mapper.tax,PersistableTaxRateMapper,26,173,6,12,8,38,6,8,0,5
sm-shop,com.salesmanager.shop.store.facade.customer,CustomerFacadeImpl,342,3,10,0,78,1,12,1,7,1
sm-shop,com.salesmanager.shop.application,ShopApplication,5,3,0,0,2,1,1,1,1,1
sm-shop,com.salesmanager.shop.store.api.v1.shoppingCart,ShoppingCartApi,185,75,20,4,46,15,16,7,5,6
sm-shop,com.salesmanager.shop.store.facade.category,CategoryFacadeImpl,915,363,74,26,187,74,64,23,22,15
