GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
sm-shop,com.salesmanager.shop.populator.customer,ReadableCustomerPopulator,397,0,42,0,88,0,24,0,3,0
sm-shop,com.salesmanager.shop.populator.customer,PersistableCustomerOptionValuePopulator,101,0,6,0,27,0,8,0,5,0
sm-shop,com.salesmanager.shop.populator.customer,PersistableCustomerOptionPopulator,116,0,8,0,31,0,9,0,5,0
sm-shop,com.salesmanager.shop.populator.customer,ReadableProductReviewPopulator,7,0,0,0,3,0,3,0,3,0
sm-shop,com.salesmanager.shop.populator.customer,ReadableCustomerDeliveryAddressPopulator,182,0,28,0,51,0,21,0,7,0
sm-shop,com.salesmanager.shop.populator.customer,CustomerEntityPopulator,185,0,18,0,43,0,12,0,3,0
sm-shop,com.salesmanager.shop.store.facade.product,ProductFacadeV2Impl,284,30,22,2,55,8,20,2,8,2
sm-shop,com.salesmanager.shop.store.facade.product,ProductVariantFacadeImpl,356,3,20,0,64,1,19,1,9,1
sm-shop,com.salesmanager.shop.store.facade.product,ProductCommonFacadeImpl,804,44,53,3,185,10,47,2,19,2
sm-shop,com.salesmanager.shop.store.facade.product,ProductOptionSetFacadeImpl,344,3,14,0,70,1,17,1,10,1
sm-shop,com.salesmanager.shop.store.facade.product,ProductDefinitionFacadeImpl,82,32,5,1,18,8,6,2,3,2
sm-shop,com.salesmanager.shop.store.facade.product,ProductTypeFacadeImpl,321,3,16,0,79,1,16,1,8,1
sm-shop,com.salesmanager.shop.store.facade.product,ProductVariantGroupFacadeImpl,340,3,12,0,75,1,16,1,10,1
sm-shop,com.salesmanager.shop.store.facade.product,ProductOptionFacadeImpl,888,51,52,2,205,11,51,2,24,2
sm-shop,com.salesmanager.shop.store.facade.product,ProductPriceFacadeImpl,228,3,6,0,53,1,11,1,8,1
sm-shop,com.salesmanager.shop.store.facade.product,ProductVariationFacadeImpl,313,3,12,0,63,1,14,1,8,1
sm-shop,com.salesmanager.shop.store.facade.product,ProductInventoryFacadeImpl,394,3,22,0,75,1,28,1,17,1
sm-shop,com.salesmanager.shop.store.facade.product,ProductFacadeImpl,364,3,24,0,83,1,19,1,7,1
sm-shop,com.salesmanager.shop.store.controller.security.facade,SecurityFacadeImpl,52,36,2,0,13,9,2,5,1,5
sm-shop,com.salesmanager.shop.mapper.catalog,ReadableCatalogMapper,223,3,16,0,42,1,18,1,10,1
